State,County,county_geoid,Remove from Map,Percent Students Enrolled in CNC,Students Enrolled in CNC Schools,Number of Districts,Number of Schools,Number of Counselors,Number of Law Enforcement,Sum of Counselors,Number Cop no Counselor Schools,White Students Enrolled,White Students Enrolled in CNC,MTW Status,latitude,longitude,MTW Status,DISTRICT,SCHOOL,MTW Status,Number of Social Workers,Number of Psychologists,Number of Nurses,Number of Teachers,MTW Status,MTW Status
MI,Ottawa,26139,,21.7%,10057,17,88,44,35.96,0,22,34422,7723,Matching,43.060542,-86.224543,Matching,Grand Haven Area Public Schools,Central High School,Matching,41.57,29.9,10.55,2466.06,Matching,Matching
KS,Linn,20107,,21.7%,409,3,8,5,6.5,0,2,1715,374,Matching,38.173411,-94.720793,Matching,Pleasanton,Pleasanton High,Matching,1,2,2.85,148.6,Matching,Matching
CA,Kings,6031,,21.6%,6060,13,65,44.2,62.65,0,14,6047,1832,Matching,36.33761,-119.64569,Matching,Hanford Joint Union High,Earl F. Johnson High (Continuation),Matching,11.25,32.54,42.97,1322.78,Matching,Matching
NE,Cass,31025,,21.6%,815,5,14,11.5,2,0,2,3527,749,Matching,40.865647,-96.141252,Matching,WEEPING WATER PUBLIC SCHOOLS,WEEPING WATER HIGH SCHOOL,Matching,3,8.36,8.45,334.32,Matching,Matching
IL,Wabash,17185,1,21.5%,477,2,6,1,1,0,1,2130,460,Matching,38.419842,-87.776583,Matching,Wabash CUSD 348,Mt Carmel Middle School,Matching,5,0,5,147,Matching,Matching
WV,Tyler,54095,1,21.5%,282,1,4,2,2,0,1,1279,274,Matching,39.520681,-80.894739,Matching,TYLER COUNTY SCHOOLS,TYLER CONSOLIDATED MIDDLE SCHOOL,Matching,0,0,1,93,Matching,Matching
MS,Walthall,28147,1,21.3%,420,1,5,2.5,3.1,0,1,656,97,Matching,31.12,-90.14,Matching,WALTHALL CO SCHOOL DIST,TYLERTOWN HIGH SCHOOL,Matching,0,0,4,135.5,Matching,Matching
IL,Winnebago,17201,,21.0%,9020,11,88,105.35,14.8,0,24,22088,3039,Matching,42.277431,-89.119615,Matching,Rockford SD 205,Lewis Lemon Elementary,Matching,62.49,42.93,71.54,2782.88,Matching,Matching
MI,Cass,26027,,20.8%,1614,5,22,10,7,0,5,5791,1436,Matching,41.989337,-86.108983,Matching,Lewis Cass ISD,North Pointe Center,Matching,10,1,4,365.51,Matching,Matching
MI,Alpena,26007,1,20.8%,888,2,10,3,2,0,1,4015,847,Matching,45.054524,-83.46976,Matching,Alpena Public Schools,Alpena High School,Matching,0,0,0.81,197.69,Matching,Matching
IN,Posey,18129,,20.7%,727,2,9,8,4,0,2,3210,674,Matching,37.938138,-87.887784,Matching,M S D Mount Vernon,Mount Vernon High School,Matching,0,1.5,9,247.56,Matching,Matching
TX,Frio,48163,1,20.5%,677,2,7,3,3,0,1,208,40,Matching,28.671914,-99.172061,Matching,DILLEY ISD,MARY HARPER MIDDLE,Matching,0,0,1,246.1,Matching,Matching
MI,Lapeer,26087,,20.2%,2567,7,27,19.8,6.84,0,7,11361,2125,Matching,43.00504,-83.075179,Matching,Imlay City Community Schools,Venture High School,Matching,10.96,5.06,1.75,624,Matching,Matching
OH,Ashtabula,39007,,20.1%,2862,7,31,18.33,10,0,7,12055,1996,Matching,41.947405,-80.560203,Matching,Conneaut Area City,Conneaut High School,Matching,0,10.46,13.8,1005.17,Matching,Matching
CA,Sacramento,6067,,20.1%,45484,15,340,271.47,123.96,0,66,70787,13074,Matching,38.544593,-121.28913,Matching,Folsom-Cordova Unified,Mather Youth Academy,Matching,113.27,188.05,130.1,10660.67,Matching,Matching
TN,Grundy,47061,,19.8%,501,1,8,6.75,6,0,2,2480,497,Matching,35.37,-85.7,Matching,Grundy County,Grundy County High School,Matching,0,1,5,186.65,Matching,Matching
OR,Jackson,41029,,19.7%,5853,9,62,28.85,21.37,0,12,20588,4032,Matching,42.37978,-122.92111,Matching,Central Point SD 6,Crater Academy of Health and Public Services,Matching,1,6.69,6.38,1394.34,Matching,Matching
IL,Johnson,17087,1,19.6%,345,5,6,3,3.05,0,2,1668,335,Matching,37.551597,-88.97776,Matching,Goreville CUD 1,Goreville High School,Matching,2,0,4,111,Matching,Matching
IN,St. Joseph,18141,,19.6%,7981,8,68,65.5,18.21,0,16,23888,5950,Matching,41.72,-86.19,Matching,School City of Mishawaka,John J Young Middle School,Matching,30.1,20.87,17,2330.56,Matching,Matching
MN,Redwood,27127,,19.6%,420,5,12,9.5,1.66,0,1,1638,232,Matching,44.605477,-95.326935,Matching,REGN 6 AND 8-SW/WC SRV COOPERATIVE,BELVIEW LEARNING CTR BRIDGES,Matching,4,1.72,3.6,198.18,Matching,Matching
MN,Wright,27171,,19.6%,5121,13,54,27.76,13.55,0,13,23628,4523,Matching,45.058294,-94.072086,Matching,MEEKER AND WRIGHT SPECIAL EDUCATION,CORNERSTONES PROGRAM,Matching,29,12.15,13.94,1585.34,Matching,Matching
GA,Dooly,13093,1,19.6%,278,1,3,2.5,4,0,1,129,22,Matching,32.19,-83.75,Matching,Dooly County,Dooly County Middle School,Matching,0,0,0,77.2,Matching,Matching
IN,Clark,18019,,19.6%,3331,4,32,25,15.8,0,6,12155,2838,Matching,38.27,-85.75,Matching,Greater Clark County Schools,Spring Hill Elementary School,Matching,7.5,5.55,9.5,999,Matching,Matching
IL,Clay,17025,1,19.5%,455,3,8,3.99,3.05,0,1,2216,442,Matching,38.77,-88.5,Matching,North Clay CUSD 25,North Clay Community High School,Matching,0,0,4.29,150.25,Matching,Matching
FL,Okaloosa,12091,,19.2%,5455,1,44,39,39,0,13,19237,3415,Matching,30.469212,-86.614709,Matching,OKALOOSA,CHOICE HIGH SCHOOL AND TECHNICAL CENTER,Matching,0,0,0,1337.65,Matching,Matching
OH,Morrow,39117,,19.0%,861,6,13,11.5,3,0,1,4189,820,Matching,40.554198,-82.862928,Matching,Tomorrow Center,Tomorrow Center,Matching,5,7.66,6.66,290.86,Matching,Matching
KY,Henry,21103,1,19.0%,544,2,7,4.5,0.85,0,2,2551,497,Matching,38.44,-85.19,Matching,Henry County,Henry County High School,Matching,1,1.85,1.85,154.96,Matching,Matching
IN,Gibson,18051,,18.9%,933,3,13,13.75,13,0,2,4474,767,Matching,38.366536,-87.580448,Matching,North Gibson School Corp,Princeton Community Middle,Matching,2,10.1,15.1,329,Matching,Matching
MI,Manistee,26101,,18.8%,837,6,14,5,4,0,3,3590,723,Matching,44.236566,-86.312199,Matching,Casman Alternative Academy,Casman Alternative Academy,Matching,5.5,2,2,257.34,Matching,Matching
OH,Clinton,39027,,18.7%,1568,4,17,13,3.49,0,3,7625,1485,Matching,39.445316,-83.985736,Matching,Clinton-Massie Local,Clinton-Massie High School,Matching,1.5,4,5.72,493.05,Matching,Matching
TN,Perry,47135,1,18.6%,213,1,4,2.5,3,0,1,1069,202,Matching,35.62,-87.84,Matching,Perry County,Perry County High School,Matching,0,1.5,3,90,Matching,Matching
MS,Clarke,28023,,18.5%,545,2,7,7,4,0,1,1663,256,Matching,32.169712,-88.807309,Matching,ENTERPRISE SCHOOL DIST,ENTERPRISE MIDDLE SCHOOL,Matching,0,0,4,217,Matching,Matching
KS,Cherokee,20021,,18.5%,706,4,15,11.5,5.33,0,3,3219,615,Matching,37.073507,-94.70674,Matching,Riverton,Riverton High,Matching,1,2.2,4.58,289.2,Matching,Matching
IL,Bureau,17011,,18.3%,956,13,22,10.2,4,0,3,4144,855,Matching,41.54,-89.46,Matching,Ohio CHSD 505,Ohio Community High School,Matching,3.2,1.2,4.25,393.69,Matching,Matching
FL,Orange,12095,,18.3%,36431,1,240,323,184,0,58,55701,10727,Matching,28.568483,-81.48812,Matching,ORANGE,MAGNOLIA,Matching,4,2,0,11639.97,Matching,Matching
IA,Lee,19111,,18.2%,887,3,11,6.5,5.5,0,3,4160,726,Matching,40.411298,-91.387537,Matching,Keokuk Comm School District,Keokuk Middle School,Matching,3,0,8.43,343.55,Matching,Matching
TX,Madison,48313,,17.9%,483,2,5,5,2,0,1,1307,214,Matching,30.944378,-95.907793,Matching,MADISONVILLE CISD,MADISONVILLE H S,Matching,1,0,5,197,Matching,Matching
CA,Mono,6051,1,17.9%,287,3,13,2,6,0,4,640,145,Matching,37.960927,-119.12204,Matching,Eastern Sierra Unified,Lee Vining High,Matching,0,0,0,100,Matching,Matching
MN,Polk,27119,,17.9%,930,7,18,9.66,1,0,2,4248,737,Matching,47.789282,-96.597913,Matching,CROOKSTON PUBLIC SCHOOL DISTRICT,CROOKSTON SECONDARY,Matching,5,3,8,408.94,Matching,Matching
NY,Columbia,36021,,17.8%,1284,7,17,23,6.73,0,3,5523,687,Matching,42.133959,-73.890467,Matching,GERMANTOWN CENTRAL SCHOOL DISTRICT,GERMANTOWN JUNIOR-SENIOR HIGH SCHOOL,Matching,7.35,20.49,17.1,702.91,Matching,Matching
IL,Perry,17145,,17.7%,528,6,13,9.75,1.37,0,1,2632,445,Matching,38.02,-89.24,Matching,Duquoin CUSD 300,Duquoin High School,Matching,3.25,0,4.5,189.6,Matching,Matching
NY,Wyoming,36121,,17.5%,778,5,11,11,7,0,2,4208,746,Matching,42.629445,-78.115191,Matching,LETCHWORTH CENTRAL SCHOOL DISTRICT,LETCHWORTH SENIOR HIGH SCHOOL,Matching,3,7,9.98,429.65,Matching,Matching
MI,Roscommon,26143,1,17.5%,451,4,9,3.2,0.75,0,2,2418,431,Matching,44.334193,-84.802482,Matching,Houghton Lake Community Schools,Houghton Lake Adult Education,Matching,2.06,0,0.02,162.5,Matching,Matching
MN,Carver,27019,,17.3%,3106,6,35,18.58,5.5,0,3,15089,2577,Matching,44.837846,-93.794474,Matching,WACONIA PUBLIC SCHOOL DISTRICT,WACONIA ALTERNATIVE LEARNING CENTER,Matching,9.95,13.2,26.11,1119.68,Matching,Matching
KY,Breathitt,21025,1,16.8%,367,2,8,3.5,1,0,1,2119,352,Matching,37.55,-83.38,Matching,Breathitt County,Breathitt County High School,Matching,0,0.5,4.5,106.32,Matching,Matching
MO,Ripley,29181,,16.6%,416,3,8,7,4,0,1,2387,400,Matching,36.623441,-90.820364,Matching,DONIPHAN R-I,DONIPHAN MIDDLE,Matching,0,0,5,188,Matching,Matching
NE,Sioux,31165,1,16.3%,17,1,4,1.2,4,0,1,85,13,Matching,42.690281,-103.880341,Matching,SIOUX COUNTY PUBLIC SCHOOLS,SIOUX COUNTY HIGH SCHOOL,Matching,0,0,0,19,Matching,Matching
ID,Gooding,16047,,16.3%,539,6,11,5.99,3,0,1,1887,331,Matching,42.931439,-114.71453,Matching,NORTH VALLEY ACADEMY,NORTH VALLEY ACADEMY,Matching,2.27,1.5,5.78,203.33,Matching,Matching
ID,Franklin,16041,,16.2%,538,2,9,7.5,5,0,1,2943,451,Matching,42.09,-111.87,Matching,PRESTON JOINT DISTRICT,FRANKLIN COUNTY (ALT) HIGH,Matching,0,1,0,157.85,Matching,Matching
OH,Hancock,39063,,16.1%,1905,10,35,31.5,18.25,0,7,10127,1783,Matching,40.96,-83.75,Matching,Cory-Rawson Local,Cory-Rawson Elementary School,Matching,0,10.3,7.2,799.69,Matching,Matching
ID,Owyhee,16073,,16.0%,374,3,9,6,1.51,0,1,1410,202,Matching,42.931625,-115.984759,Matching,BRUNEAU-GRAND VIEW JOINT SCHOOL DISTRICT,RIMROCK JR-SR HIGH SCHOOL,Matching,0,0,0.75,123.19,Matching,Matching
IL,McLean,17113,,16.0%,3756,10,54,35.2,11.32,0,7,16371,1837,Matching,40.396353,-88.871365,Matching,Tri Valley CUSD 3,Tri-Valley High School,Matching,15.23,20.12,29.89,1633.13,Matching,Matching
OH,Scioto,39145,,15.9%,1970,12,30,21,8,0,4,11547,1567,Matching,38.76,-83.03,Matching,Washington-Nile Local,Portsmouth West Middle School,Matching,0,6.51,15.11,671.33,Matching,Matching
IN,Grant,18053,,15.9%,1628,6,24,18.5,4.12,0,4,7713,862,Matching,40.48922,-85.621433,Matching,Mississinewa Community School Corp,R J Baskett Middle School,Matching,12,5.25,14.25,578,Matching,Matching
ID,Bonner,16017,,15.9%,817,3,17,11,5.6,0,2,4592,698,Matching,48.300254,-116.557067,Matching,LAKE PEND OREILLE SCHOOL DISTRICT,LAKE PEND OREILLE ALT HIGH SCHOOL,Matching,0,5.4,2,307.35,Matching,Matching
IN,Franklin,18047,,15.7%,952,3,10,11,3,0,2,5806,857,Matching,39.428592,-84.998769,Matching,Franklin County Com Sch Corp,Franklin County High,Matching,0.6,0.8,7.75,355.99,Matching,Matching
OH,Tuscarawas,39157,,15.6%,2581,11,42,20,5.47,0,7,15180,2311,Matching,40.414416,-81.364827,Matching,Claymont City,Claymont High School,Matching,1.03,9.24,10.3,1056.82,Matching,Matching
WY,Sweetwater,56037,,15.5%,1307,2,27,25.67,12.5,0,4,6216,1009,Matching,41.52,-109.47,Matching,Sweetwater County School District #2,Expedition Academy,Matching,13,5.67,11.9,657.62,Matching,Matching
MT,Park,30067,,15.5%,305,9,15,8.35,0.25,0,1,1781,271,Matching,45.887458,-110.59788,Matching,Shields Valley H S,Shields Valley High Schl,Matching,0,1.6,6.1,152.87,Matching,Matching
OR,Douglas,41019,,15.4%,2160,14,46,23.5,7.51,0,7,11293,1780,Matching,43.428249,-123.299,Matching,Oakland SD 1,Oakland High School,Matching,0,4,2.4,754.8,Matching,Matching
MI,Wexford,26165,,15.2%,844,5,15,8.5,4.91,0,3,5205,804,Matching,44.249807,-85.416329,Matching,Cadillac Area Public Schools,Cadillac Senior High School,Matching,18.5,2,1,279.93,Matching,Matching
IL,Fulton,17057,,15.1%,737,7,22,15.5,1,0,2,4606,689,Matching,40.394452,-90.153396,Matching,West Central IL Spec Educ Coop,New Horizons,Matching,9.31,9.11,0.5,382.82,Matching,Matching
OH,Allen,39003,,15.1%,2563,13,37,34.35,22.5,0,5,12340,1586,Matching,40.729328,-84.088188,Matching,Auglaize County Educational Academy,Auglaize County Educational Academy,Matching,9,6.24,21.5,1050.95,Matching,Matching
MI,Osceola,26133,1,14.9%,587,4,12,4,0.99,0,1,3654,553,Matching,43.908384,-85.26595,Matching,Evart Public Schools,Evart Elementary School,Matching,4.84,0.34,0.99,209.52,Matching,Matching
NY,Ontario,36069,,14.9%,2409,9,30,49,11.5,0,4,13596,1819,Matching,42.96,-77.23,Matching,MANCHESTER-SHORTSVILLE CENTRAL SCHOOL DISTRICT (RED JACKET),RED JACKET MIDDLE SCHOOL,Matching,11.29,34.5,35,1366.5,Matching,Matching
IA,Cerro Gordo,19033,,14.7%,864,4,15,12.5,1,0,2,4893,722,Matching,43.128324,-93.478085,Matching,Garner-Hayfield-Ventura Comm School District,Garner-Hayfield-Ventura Junior High,Matching,0.36,0,10.1,388,Matching,Matching
CO,Montrose,8085,,14.6%,872,2,16,23.1,7.91,0,3,3467,619,Matching,38.609168,-107.984651,Matching,Montrose County School District Re-1J,OLATHE MIDDLE SCHOOL,Matching,1,0,0,363,Matching,Matching
NY,Seneca,36099,,14.6%,574,4,11,13,5,0,2,3488,458,Matching,42.909297,-76.851133,Matching,WATERLOO CENTRAL SCHOOL DISTRICT,LA FAYETTE SCHOOL,Matching,4,9.5,9.5,383,Matching,Matching
LA,East Feliciana,22037,1,14.5%,301,1,7,3,2,0,1,699,37,Matching,30.858339,-91.022459,Matching,East Feliciana Parish,Clinton Elementary School,Matching,0,0,5,153,Matching,Matching
AR,Hot Spring,5059,,14.5%,723,5,13,12.81,6.5,0,2,3919,680,Matching,34.355757,-92.804979,Matching,MALVERN SCHOOL DISTRICT,MALVERN HIGH SCHOOL,Matching,0,0.75,9.5,346.29,Matching,Matching
IL,Knox,17095,,14.4%,992,6,19,8,4,0,2,5032,638,Matching,41.07,-90.23,Matching,R O W V A CUSD 208,R O W V A Jr and  Sr High School,Matching,1,1,7.49,458.33,Matching,Matching
TX,Henderson,48213,,14.3%,1575,8,31,22.12,7.25,0,5,7103,1316,Matching,32.202884,-95.846463,Matching,ATHENS ISD,ATHENS H S,Matching,0,0.1,22.89,804.7,Matching,Matching
WY,Park,56029,,14.3%,579,3,16,12.8,1.92,0,3,3545,474,Matching,44.753595,-108.75196,Matching,Park County School District # 1,Shoshone Learning Center,Matching,2,5.01,7.13,325.23,Matching,Matching
TN,Chester,47023,,14.2%,408,1,6,6,6,0,2,2361,329,Matching,35.443934,-88.615468,Matching,Chester County,Chester County Junior High School,Matching,3,0,4,185,Matching,Matching
IN,Hamilton,18057,,14.1%,8407,9,69,112.5,33.59,0,13,46153,5494,Matching,40.014997,-85.992035,Matching,Options Charter Sch - Noblesville,Options Charter School Noblesville,Matching,20.4,34.29,61.3,3207.65,Matching,Matching
CA,San Joaquin,6077,,14.0%,18572,12,203,189.6,52.7,0,26,25795,4415,Matching,37.798265,-121.22617,Matching,Manteca Unified,Manteca Community Day (7-12),Matching,13.75,109.29,58.05,5943.29,Matching,Matching
WY,Fremont,56013,,14.0%,1016,9,32,61.02,15.45,0,6,3717,631,Matching,43.032229,-108.41173,Matching,Fremont County School District #25,Riverton Middle School,Matching,11,8,14.72,622.53,Matching,Matching
AZ,Mohave,4015,,14.0%,3440,24,56,28.05,17.25,0,8,16696,2483,Matching,35.487464,-113.56894,Matching,Valentine Elementary District,Valentine Elementary School,Matching,0,1.75,16,1330.97,Matching,Matching
MN,Sibley,27143,,14.0%,335,5,12,8,2,0,1,1779,256,Matching,44.528986,-93.90355,Matching,MINNESOTA NEW COUNTRY SCHOOL,MINNESOTA NEW COUNTRY SCHOOL,Matching,3.5,0.25,4.33,204.33,Matching,Matching
IN,DeKalb,18033,,13.9%,979,4,13,18,9,0,3,6478,936,Matching,41.348325,-85.126938,Matching,Garrett-Keyser-Butler Com,Garrett High School,Matching,1,4,12,397,Matching,Matching
TN,Henderson,47077,,13.9%,685,2,11,10,4,0,1,4154,439,Matching,35.650325,-88.37317,Matching,Lexington City School System,Lexington Middle School,Matching,2.2,0.99,13.5,356,Matching,Matching
MN,Dodge,27039,,13.8%,527,3,8,6,6.5,0,2,3338,431,Matching,44.032723,-92.866883,Matching,TRITON SCHOOL DISTRICT,TRITON HIGH SCHOOL,Matching,5.5,1,5,270.11,Matching,Matching
MN,Fillmore,27045,1,13.8%,356,5,13,3,3,0,2,2468,329,Matching,43.695882,-92.388993,Matching,KINGSLAND PUBLIC SCHOOL DISTRICT,Kingsland Junior/Senior High School,Matching,3,1.9,0,186.29,Matching,Matching
CA,Orange,6059,,13.6%,66011,30,586,451.1,131.42,0,114,134739,25832,Matching,33.506557,-117.663609,Matching,Capistrano Unified,Bridges Community Day,Matching,15.96,311.56,141.43,19367.84,Matching,Matching
MS,Tippah,28139,,13.5%,571,2,9,7,2.99,0,2,3015,533,Matching,34.67081,-89.032349,Matching,SOUTH TIPPAH SCHOOL DIST,BLUE MOUNTAIN HIGH SCHOOL,Matching,0,0,2,301.25,Matching,Matching
NM,Eddy,35015,,13.4%,1622,2,26,23.5,12.89,0,6,4688,450,Matching,32.2793,-104.09828,Matching,LOVING MUNICIPAL SCHOOLS,LOVING MIDDLE,Matching,19.9,4.25,16.4,657.26,Matching,Matching
IL,Sangamon,17167,,13.4%,4015,12,71,18.5,9,0,5,20465,1994,Matching,39.805879,-89.662471,Matching,Springfield SD 186,Douglas School,Matching,44,20.5,39.29,1912.72,Matching,Matching
IL,Effingham,17049,,13.3%,712,6,17,12.9,9.05,0,3,5060,660,Matching,39.124472,-88.538348,Matching,Eastern IL Area of Spec Educ,Fresh Start Treatment & Learning,Matching,3.9,2.4,3.05,385.5,Matching,Matching
NY,Cortland,36023,,13.2%,831,5,17,17,6,0,2,5816,776,Matching,42.643793,-76.188323,Matching,HOMER CENTRAL SCHOOL DISTRICT,HOMER SENIOR HIGH SCHOOL,Matching,16,13,20,592.85,Matching,Matching
NY,Herkimer,36043,,13.2%,1251,11,26,25.77,7.99,0,3,9010,1215,Matching,42.89,-75.17,Matching,MOUNT MARKHAM CENTRAL SCHOOL DISTRICT,MOUNT MARKHAM SENIOR HIGH SCHOOL,Matching,12.1,13.19,23.43,825.9,Matching,Matching
CA,Imperial,6025,,13.1%,5085,16,66,48.02,14.79,0,5,2883,224,Matching,32.788388,-115.56661,Matching,Central Union High School District,Central Union High,Matching,0,22.32,44.79,1744.49,Matching,Matching
OR,Polk,41053,,13.0%,1604,4,23,19.9,1,0,3,8177,810,Matching,44.916544,-123.30289,Matching,Dallas SD 2,Dallas High School,Matching,2.5,0.75,1.52,553.52,Matching,Matching
MI,Newaygo,26123,,12.9%,982,7,23,13.75,0.99,0,3,6536,861,Matching,43.410768,-85.797677,Matching,Newaygo Public School District,Newaygo High School,Matching,0,0,1.5,373.18,Matching,Matching
MN,Todd,27153,1,12.9%,378,4,10,4.74,2.7,0,1,2353,346,Matching,46.263694,-95.062056,Matching,BERTHA-HEWITT PUBLIC SCHOOL DIST.,BERTHA SECONDARY,Matching,4.45,0.5,3.65,183.69,Matching,Matching
NY,Kings,36047,,12.9%,3776,60,61,78.9,57.7,0,10,1890,141,Matching,40.594005,-73.937395,Matching,NEW VISIONS CHTR HS-ADV MA/SCI III,NEW VISIONS CHTR HS-ADV MA/SCI III,Matching,65.57,7,30.3,2482.34,Matching,Matching
IN,Fountain,18045,,12.8%,351,3,7,6,4.5,0,1,2515,322,Matching,40.10783,-87.228001,Matching,Southeast Fountain School Corp,Fountain Central High School,Matching,2,0,5,195,Matching,Matching
MN,Chisago,27025,,12.8%,1049,4,18,10,4.1,0,2,7632,959,Matching,45.382744,-92.868676,Matching,CHISAGO LAKES SCHOOL DISTRICT,LEVEL 4 PROGRAM PATHWAYS TO CHANGE,Matching,6,15.9,9.8,502.44,Matching,Matching
TX,Kleberg,48273,,12.8%,711,4,15,17,2,0,2,658,152,Matching,27.508507,-97.879734,Matching,KINGSVILLE ISD,MEMORIAL MIDDLE,Matching,0,0,9.05,377.37,Matching,Matching
NJ,Salem,34033,,12.8%,1069,13,23,28.18,6,0,4,5912,877,Matching,39.648799,-75.519226,Matching,PENNSVILLE PUBLIC SCHOOL DISTRICT,Pennsville Memorial High School,Matching,9.27,7.01,17,739.02,Matching,Matching
MN,Itasca,27061,,12.7%,940,6,24,15.8,4.75,0,3,6005,606,Matching,47.12,-93.26,Matching,NORTHERN LIGHTS COMMUNITY SCHOOL,NORTHERN LIGHTS COMMUNITY SCHOOL,Matching,5.5,2.4,12.58,474.28,Matching,Matching
OH,Jefferson,39081,,12.7%,1171,6,23,15.5,5,0,3,7847,1140,Matching,40.447909,-80.746394,Matching,Edison Local,Edison High School,Matching,5,8.05,13,604.86,Matching,Matching
CA,Merced,6047,,12.6%,7277,21,105,68.24,36.6,0,16,9577,1270,Matching,37.067349,-120.86166,Matching,Merced County Office of Education,Valley Los Banos Community,Matching,0.5,45.3,50.4,2516.67,Matching,Matching
NY,Oneida,36065,,12.6%,4389,20,75,83.6,40.49,0,12,25725,4014,Matching,43.138064,-75.561205,Matching,MADISON-ONEIDA BOCES,MADISON-ONEIDA BOCES,Matching,52.65,37.72,84.5,2714.92,Matching,Matching
TX,Freestone,48161,,12.4%,471,4,14,8.45,5.5,0,2,2242,238,Matching,31.720095,-96.140039,Matching,FAIRFIELD ISD,FAIRFIELD H S,Matching,0,0,7,299.29,Matching,Matching
IN,Dubois,18037,,12.3%,899,4,18,14.49,1,0,2,6111,773,Matching,38.41472,-86.99944,Matching,Greater Jasper Con Schs,Ireland Elementary School,Matching,6.33,1.2,12.2,437.5,Matching,Matching
MI,Allegan,26005,,12.2%,2417,14,52,19.45,6.2,0,5,16525,1997,Matching,42.534449,-85.827901,Matching,Outlook Academy,Outlook Academy,Matching,20.7,5.55,13.95,987.5,Matching,Matching
IN,Hancock,18059,,12.2%,1649,4,22,20,12,0,3,11809,1398,Matching,39.823975,-85.610871,Matching,Eastern Hancock Co Com Sch Corp,Eastern Hancock High School,Matching,5.88,0,4,750.08,Matching,Matching
IL,Champaign,17019,,12.2%,2905,15,55,44.13,7.05,0,8,13258,1706,Matching,40.115802,-88.241283,Matching,Champaign/Ford ROE,R E A D Y Program,Matching,36.5,22.9,18.89,1777.38,Matching,Matching
CO,Pueblo,8101,,12.2%,3881,2,59,66.76,16.48,0,13,12059,2209,Matching,38.277424,-104.60764,Matching,Falcon School District No. 49 in the county of El Paso and,GOAL ACADEMY,Matching,0,8.93,10.97,1572.75,Matching,Matching
OH,Darke,39037,,12.0%,935,8,21,11.99,5.51,0,3,7395,855,Matching,39.995404,-84.550397,Matching,Arcanum-Butler Local,Butler Middle School,Matching,6,4.99,7.64,452.39,Matching,Matching
AZ,Yavapai,4025,,12.0%,3049,39,74,28.42,14.5,0,7,16983,1972,Matching,34.907649,-112.48029,Matching,Research Based Education Corporation,Paulden Community School,Matching,4.37,19.83,27.43,1374.32,Matching,Matching
MN,Clay,27027,,12.0%,939,6,19,18.66,7.5,0,2,6616,833,Matching,46.88,-96.32,Matching,LAKE AGASSIZ SPECIAL ED. COOP.,INTENSIVE INTERAGENCY PROGRAM,Matching,6.98,3.31,5,576.54,Matching,Matching
IN,Marion,18097,,12.0%,16934,52,223,209.68,77.36,0,30,49140,7346,Matching,39.7434,-86.088616,Matching,Indpls Lighthouse Charter School,Indpls Lighthouse Charter School,Matching,108.07,79.66,165.42,8774.19,Matching,Matching
NC,Cherokee,37039,,11.9%,443,2,14,10.6,13,0,3,3236,399,Matching,35.100475,-84.014908,Matching,Cherokee County Schools,Murphy Middle,Matching,1,0,3,314.79,Matching,Matching
LA,Sabine,22085,,11.9%,512,1,10,7.5,1,0,1,2125,94,Matching,31.815718,-93.514262,Matching,Sabine Parish,Pleasant Hill High School,Matching,0,0,6,295,Matching,Matching
IN,Boone,18011,,11.9%,1423,3,17,29,9,0,3,10463,1215,Matching,39.961355,-86.273691,Matching,Zionsville Community Schools,Zionsville Community High School,Matching,0,2,18,634.27,Matching,Matching
IN,Vigo,18167,,11.8%,1746,1,28,29,47.4,0,5,12137,1460,Matching,39.486293,-87.402088,Matching,Vigo County School Corp,McLean Education Center (Alt),Matching,0,0,2,906,Matching,Matching
FL,Calhoun,12013,1,11.8%,257,1,5,4,3,0,1,1664,166,Matching,30.44,-85.05,Matching,CALHOUN,BLOUNTSTOWN HIGH SCHOOL,Matching,0,0,0,144.98,Matching,Matching
OH,Greene,39057,,11.8%,2580,10,35,37,14.5,0,4,17651,2011,Matching,39.674987,-83.958718,Matching,Summit Academy Community School Alternative Learners -Xenia,Summit Academy Community School Alternative Learners -Xenia,Matching,2.5,18.2,21,1108.18,Matching,Matching
NY,Steuben,36101,,11.8%,1840,13,36,50.55,20.99,0,4,13760,1708,Matching,42.237201,-77.197562,Matching,CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,CAMPBELL-SAVONA JUNIOR/SENIOR HIGH SCHOOL,Matching,42.9,26.81,39.3,1547.7,Matching,Matching
NY,Rockland,36087,,11.7%,4791,11,68,101.8,19.2,0,10,18466,1612,Matching,41.049112,-73.95397,Matching,SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT,TAPPAN ZEE HIGH SCHOOL,Matching,62.3,118.85,79.9,3517.07,Matching,Matching
OH,Belmont,39013,,11.6%,1097,8,24,13,6.5,0,2,8685,1073,Matching,40.078577,-80.903002,Matching,St Clairsville-Richland City,St Clairsville High School,Matching,2.22,5.35,9.71,577.35,Matching,Matching
OR,Lane,41039,,11.6%,5182,16,109,46.94,12.98,0,6,31915,3663,Matching,44.030581,-123.09254,Matching,Eugene SD 4J,Network Charter School,Matching,1.2,13.06,6.25,1793.94,Matching,Matching
RI,Kent,44003,,11.6%,1627,5,25,41.5,11.82,0,4,11989,1372,Matching,41.607428,-71.638576,Matching,Exeter-West Greenwich,Exeter-West Greenwich Regional,Matching,21.5,13,26.9,1188.27,Matching,Matching
